,Crossdock Default2018 Good,Crossdock Default2018 Left,General Default2018 Good,General Default2018 Left,Redock Default2018 Good,Redock Default2018 Left,Default2017 Good,Default2017 Left,Crossdock Dense Good,Crossdock Dense Left
0.3,42.06434193072465,84.22330097087378,40.81646819062094,58.210155994327486,38.040100870849756,53.61539511396206,28.589411757883806,88.78995309261481,37.071260862602465,86.92456637940437
0.31,42.07979545598908,83.18288425875423,40.957395865075505,57.302007199738185,38.253624049369,52.54401528592876,28.60342019832941,88.27451729028036,37.07985289722816,86.3954947092833
0.32,42.181155650785776,82.10292353005346,41.0414157524066,56.453856223410064,38.4606407323356,51.44260952640917,28.628127653655877,87.69226573579144,37.103563315845825,85.8664230391622
0.33,42.23490929851297,81.0406894294753,41.09629823363387,55.616613941311215,38.65851832279746,50.360311177835406,28.651174574418864,87.14819461110504,37.16405753928365,85.31553398058253
0.34,42.297184814691306,79.84346023780954,41.174794803708465,54.76573579142576,38.81608018328547,49.295755425139895,28.692748723328037,86.58230609796007,37.18551976443971,84.76055416166685
0.35,42.34234733850044,78.5466892113014,41.29200340800811,53.884858732409725,39.000161370241116,48.18206633001228,28.70019589445798,85.98369150212719,37.22009598436434,84.25466346678303
0.36,42.4520454492279,77.2785535071452,41.401548537246214,53.03534416930293,39.16557993686264,47.121605022519454,28.73877234303645,85.42598450965421,37.258722970228604,83.6724119122941
0.37,42.52730990959461,76.03087160466895,41.496053703524645,52.17764808552416,39.380214895286976,46.084345571175106,28.79575399813665,84.87100469073852,37.31810961633254,83.14606741573034
0.38,42.6082020241024,74.64819461110505,41.553808456129076,51.407221555579795,39.64547960447892,45.10304353760066,28.81084937099053,84.21375586342316,37.34590493456965,82.61563215883059
0.39,42.71107065037327,73.22461001418131,41.661426219851066,50.56725209992364,39.828419756146815,44.09444520267504,28.859626335215484,83.60150539980364,37.384957990445756,81.99520017453911
0.4,42.81373058050638,71.71102868986581,41.805243105455695,49.769553834406025,39.94479224471982,43.184113552613624,28.892467171038646,82.97289189484019,37.41901322890778,81.42113014072216
0.41,42.94591188357502,70.14017672084651,41.918625776163424,48.93912948620051,40.1337315678016,42.193257813566255,28.907681329356688,82.32518817497545,37.45715505353703,80.8293334787826
0.42,43.06197716843021,68.46296498309152,42.05322903129186,48.15779426202685,40.32399497878843,41.201037259451354,28.927293673548284,81.72930075269991,37.48199451346584,80.22662812261372
0.43,43.22674204460357,66.83211519581106,42.26535655065983,47.30282535180539,40.60059768820797,40.23065374641736,28.9723075659624,81.10068724773646,37.50688056674266,79.62664994000218
