,Default Ensemble Good,Default Ensemble Left,Crossdock Default2018 Ensemble Good,Crossdock Default2018 Ensemble Left,Crossdock Dense Ensemble Good,Crossdock Dense Ensemble Left,General Default2018 Ensemble Good,General Default2018 Ensemble Left,Redock Default2018 Ensemble Good,Redock Default2018 Ensemble Left,All Ensemble Good,All Ensemble Left
0.13,72.64616107067387,99.97652582159624,66.17370892018779,100.0,68.85861906998589,99.9530516431925,66.53339604891815,99.81220657276995,70.14574518100612,99.85915492957749,72.5223109441052,99.9530516431925
0.14,72.64616107067387,99.97652582159624,66.17370892018779,100.0,68.85861906998589,99.9530516431925,66.53339604891815,99.81220657276995,70.14574518100612,99.85915492957749,72.5223109441052,99.9530516431925
0.15,72.64616107067387,99.97652582159624,66.17370892018779,100.0,68.85861906998589,99.9530516431925,66.52552340625735,99.7887323943662,70.14574518100612,99.85915492957749,72.5223109441052,99.9530516431925
0.16,72.64616107067387,99.97652582159624,66.17370892018779,100.0,68.87479445618979,99.92957746478874,66.54117647058824,99.76525821596243,70.14574518100612,99.85915492957749,72.5223109441052,99.9530516431925
0.17,72.64616107067387,99.97652582159624,66.17370892018779,100.0,68.90716803760282,99.88262910798124,66.58817989168824,99.69483568075115,70.16223841993887,99.83568075117373,72.5223109441052,99.9530516431925
0.18,72.64616107067387,99.97652582159624,66.17370892018779,100.0,68.9233662435355,99.85915492957749,66.60386245878472,99.67136150234744,70.16223841993887,99.83568075117373,72.53934695795161,99.92957746478874
0.19,72.64616107067387,99.97652582159624,66.17370892018779,100.0,68.93957206677639,99.83568075117373,66.60386245878472,99.67136150234744,70.17873941674506,99.81220657276995,72.55639097744361,99.90610328638498
0.2,72.66322217003287,99.9530516431925,66.18924630194881,99.97652582159624,68.9557855126999,99.81220657276995,66.60386245878472,99.67136150234744,70.17873941674506,99.81220657276995,72.55639097744361,99.90610328638498
0.21,72.66322217003287,99.9530516431925,66.18924630194881,99.97652582159624,68.9557855126999,99.81220657276995,66.60386245878472,99.67136150234744,70.19524817689955,99.7887323943662,72.55639097744361,99.90610328638498
0.22,72.66322217003287,99.9530516431925,66.18924630194881,99.97652582159624,68.9557855126999,99.81220657276995,66.61955241460542,99.64788732394364,70.21176470588235,99.76525821596243,72.57344300822561,99.88262910798124
0.23,72.69736842105263,99.90610328638498,66.18924630194881,99.97652582159624,68.9557855126999,99.81220657276995,66.63524976437323,99.62441314553992,70.21176470588235,99.76525821596243,72.59050305594734,99.85915492957749
