,CD_good,CD_left,Def2017_good,Def2017_left,Dense_good,Dense_left,Gen_good,Gen_left,RD_good,RD_left
0.55,65.23809523809524,98.59154929577466,52.182490752157825,95.18779342723005,65.74468085106383,99.29577464788733,67.4072265625,96.15023474178403,70.65375302663438,96.94835680751174
0.56,65.30660940109759,98.38028169014085,52.285643686681496,95.0,65.77578051087984,99.24882629107982,67.50611246943765,96.0093896713615,70.72520009701674,96.78403755868544
0.5700000000000001,65.35339063992359,98.30985915492958,52.286773794808404,94.95305164319248,65.77578051087984,99.24882629107982,67.6052889324192,95.86854460093896,70.82118561710399,96.61971830985917
0.58,65.4223498444604,98.09859154929578,52.44477537850584,94.57746478873239,65.80690960719356,99.2018779342723,67.70552147239263,95.65727699530517,70.82318558207501,96.3849765258216
0.59,65.50814956855226,97.93427230046949,52.615844544095665,94.22535211267605,65.82248520710058,99.17840375586854,67.81580891406057,95.32863849765259,70.9606453189929,96.03286384976526
0.6,65.56275497960164,97.8169014084507,52.68682829292677,93.92018779342723,65.85365853658537,99.13145539906102,67.89940828402366,95.2112676056338,71.08167770419426,95.70422535211267
0.61,65.71222329162656,97.55868544600939,52.68170426065163,93.66197183098592,65.89239156198151,99.03755868544602,67.94175715695953,95.11737089201878,71.16141732283464,95.39906103286386
0.62,65.79010856453559,97.30046948356808,52.70948319116909,93.5680751173709,65.91555977229602,98.96713615023475,68.026706231454,94.92957746478872,71.34040977536411,95.09389671361502
0.63,65.83775953645582,97.2300469483568,52.81973816717019,93.2394366197183,65.99382569460936,98.84976525821597,68.03970223325062,94.60093896713614,71.52777777777779,94.64788732394366
0.64,65.99660934851053,96.92488262910798,52.83446712018141,93.16901408450704,66.0166468489893,98.70892018779342,68.10945273631842,94.36619718309859,71.65295437546746,94.15492957746478
0.65,66.19684082624543,96.59624413145539,52.97393065046824,92.74647887323944,66.03235014272121,98.68544600938968,68.1625529793069,94.15492957746478,71.74674674674675,93.80281690140845
0.66,66.36563339028557,96.17370892018779,53.1130876747141,92.37089201877934,66.06377915278439,98.63849765258216,68.37756634952429,93.75586854460094,71.90559879487823,93.49765258215963
0.67,66.51971589517511,95.84507042253522,53.160040774719675,92.11267605633803,66.11097880447726,98.5680751173709,68.49108712026111,93.49765258215963,72.04030226700252,93.1924882629108
0.68,66.60108214461387,95.44600938967136,53.22250639386189,91.78403755868545,66.18979494515975,98.45070422535211,68.62695608278648,93.00469483568075,72.27572225038014,92.62910798122066
